Word, Color, Selected Color, Time
CAMERA, green, NA, NA
KRIEG, red, NA, NA
CAMERA, red, NA, 0.0020117759704589844, False
SUPER, blue, green, 0.9704549312591553, False
MITLEID, blue, blue, 1.0335407257080078, True
LIGHTS, blue, blue, 0.9314239025115967, True
BALTIKUM, red, red, 0.8949177265167236, True
PARADIES, red, red, 1.0201890468597412, True
MORD, blue, green, 0.9917662143707275, False
LEBENDIG, blue, blue, 0.8488132953643799, True
LIGHTS, red, red, 1.3423001766204834, True
GEKICHER, red, red, 0.853691577911377, True
KREATIV, blue, green, 0.779045820236206, False
SOUND, green, blue, 0.7558832168579102, False
MORDEN, red, blue, 0.7920427322387695, False
HERZLOS, red, blue, 0.74822998046875, False
SOMMER, blue, blue, 0.0043108463287353516, True
ERDBEERE, red, red, 0.6223969459533691, True
MITGLIED, blue, blue, 0.7657549381256104, True
HARMONIE, green, green, 0.8624434471130371, True
GLÜCK, red, green, 0.8128945827484131, False
FASCHISMUS, green, red, 0.7877542972564697, False
LIEBEN, blue, red, 1.3308942317962646, False
FASCHING, red, red, 0.6499621868133545, True
ORGAN, red, red, 0.7544512748718262, True
ACHSE, blue, blue, 0.8611891269683838, True
SOUND, red, red, 1.2151875495910645, True
MUSIC, green, green, 1.102637767791748, True
WAHRHEIT, green, green, 0.8009247779846191, True
ALPTRAUM, red, green, 0.7798714637756348, False
KÜSSEN, green, blue, 0.8209149837493896, False
SOUND, green, green, 1.2781982421875, True
MANUELL, green, green, 0.847214937210083, True
FERIEN, red, red, 0.9057769775390625, True
BALTIKUM, red, red, 0.9173500537872314, True
LIGHTS, blue, blue, 0.683769941329956, True
ZEUGIN, green, green, 1.0985262393951416, True
AFFEKT, green, green, 1.0305724143981934, True
BANGING, red, red, 1.0828664302825928, True
LUPE, green, green, 1.0010850429534912, True
LIGHTS, blue, blue, 0.9580645561218262, True
IDYLLE, blue, blue, 0.8514676094055176, True
MUSIC, blue, blue, 0.741234540939331, True
MORDTAT, red, red, 0.6554651260375977, True
ZUHAUSE, blue, blue, 0.5326728820800781, True
SOUND, red, red, 0.5314245223999023, True
LEBENDIG, blue, blue, 0.5506505966186523, True
STELLE, red, red, 0.5358023643493652, True
ZERSTÖREN, red, red, 0.5056264400482178, True
FOLTER, red, red, 0.5855450630187988, True
MAUS, red, red, 0.5968813896179199, True
BOMBE, red, red, 0.6368448734283447, True
LIGHTS, blue, blue, 0.6186254024505615, True
PUDEL, red, red, 0.6120693683624268, True
LIGHTS, red, red, 0.566434383392334, True
BANGING, green, blue, 0.5950090885162354, False
FREUDE, blue, blue, 0.6348836421966553, True
BANGING, blue, blue, 0.5785613059997559, True
MITGLIED, blue, blue, 0.5965561866760254, True
GEKICHER, blue, blue, 0.5782713890075684, True
ZUSTAND, red, red, 0.7318861484527588, True
SEX, red, red, 0.6693997383117676, True
KREATIV, green, green, 0.5801331996917725, True
FERIEN, red, green, 0.6632006168365479, False
SCHERE, blue, blue, 0.5969655513763428, True
BANGING, red, blue, 1.5823543071746826, False
MUSIC, red, blue, 1.9242186546325684, False
LIEBEN, blue, red, 0.7992231845855713, False
VORTRAG, red, blue, 0.6747369766235352, False
FASCHISMUS, red, red, 0.7313354015350342, True
GESUND, blue, blue, 0.6925656795501709, True
PUDEL, red, green, 1.2138524055480957, False
KRIEG, red, red, 0.6017551422119141, True
ZUSTAND, blue, blue, 0.6946842670440674, True
PROBE, green, green, 0.7951529026031494, True
CAMERA, blue, green, 0.8245773315429688, False
INHALT, red, blue, 0.9970898628234863, False
MITGLIED, red, red, 0.8793823719024658, True
FREUDE, red, red, 1.0499517917633057, True
SCHWUR, green, green, 1.1128709316253662, True
SCHWUR, blue, blue, 1.2267487049102783, True
MORDTAT, red, red, 1.1413068771362305, True
MANUELL, green, green, 1.1150341033935547, True
MORDEN, blue, red, 1.0874054431915283, False
SKAT, blue, blue, 0.8699572086334229, True
LIEBEN, red, red, 1.1733291149139404, True
LOSUNG, blue, blue, 1.3383197784423828, True
PUDEL, blue, blue, 1.0428411960601807, True
HYPNOSE, red, green, 1.12748384475708, False
SOUND, green, red, 0.9936356544494629, False
WEBER, red, red, 1.0063104629516602, True
MORDEN, red, red, 0.8720262050628662, True
LUPE, green, green, 0.9479999542236328, True
SCHNAPS, blue, blue, 0.895674467086792, True
MERKMAL, red, red, 0.8538365364074707, True
RAUSCH, blue, blue, 0.9146361351013184, True
KÜSSEN, red, red, 1.1437854766845703, True
ERDBEERE, blue, red, 1.0942590236663818, False
TATSACHE, red, red, 1.3234539031982422, True
LEINE, green, green, 0.9997646808624268, True
SCHWUR, blue, blue, 0.8520281314849854, True
FERIEN, blue, blue, 0.8251709938049316, True
REIHE, red, red, 0.6818957328796387, True
BLUTTAT, green, green, 0.9757423400878906, True
ALPTRAUM, green, green, 1.0477170944213867, True
SOMMER, red, red, 1.3179805278778076, True
GESUND, red, red, 0.8461170196533203, True
